TIME,ANGLE,ANGULAR_VELOCITY
0.00,2.094395,0.000000
0.00,2.094395,-0.000850
0.00,2.094395,-0.001699
0.00,2.094395,-0.002549
0.00,2.094395,-0.003398
0.00,2.094394,-0.004248
0.00,2.094394,-0.005097
0.00,2.094393,-0.005947
0.00,2.094393,-0.006797
0.00,2.094392,-0.007646
0.00,2.094391,-0.008496
0.00,2.094390,-0.009345
0.00,2.094389,-0.010195
0.00,2.094388,-0.011044
0.00,2.094387,-0.011894
0.00,2.094386,-0.012744
0.00,2.094385,-0.013593
0.00,2.094384,-0.014443
0.00,2.094382,-0.015292
0.00,2.094381,-0.016142
0.00,2.094379,-0.016991
0.00,2.094377,-0.017841
0.00,2.094375,-0.018691
0.00,2.094374,-0.019540
0.00,2.094372,-0.020390
0.00,2.094370,-0.021239
0.00,2.094367,-0.022089
0.00,2.094365,-0.022939
0.00,2.094363,-0.023788
0.00,2.094361,-0.024638
0.00,2.094358,-0.025487
0.00,2.094356,-0.026337
0.00,2.094353,-0.027186
0.00,2.094350,-0.028036
0.00,2.094347,-0.028886
0.00,2.094345,-0.029735
0.00,2.094342,-0.030585
0.00,2.094339,-0.031434
0.00,2.094335,-0.032284
0.00,2.094332,-0.033134
0.00,2.094329,-0.033983
0.00,2.094325,-0.034833
0.00,2.094322,-0.035682
0.00,2.094318,-0.036532
0.00,2.094315,-0.037382
0.00,2.094311,-0.038231
0.00,2.094307,-0.039081
0.00,2.094303,-0.039931
0.00,2.094299,-0.040780
0.00,2.094295,-0.041630
0.01,2.094291,-0.042479
0.01,2.094287,-0.043329
0.01,2.094282,-0.044179
0.01,2.094278,-0.045028
0.01,2.094274,-0.045878
0.01,2.094269,-0.046727
0.01,2.094264,-0.047577
0.01,2.094260,-0.048427
0.01,2.094255,-0.049276
0.01,2.094250,-0.050126
0.01,2.094245,-0.050976
0.01,2.094240,-0.051825
0.01,2.094234,-0.052675
0.01,2.094229,-0.053525
0.01,2.094224,-0.054374
0.01,2.094218,-0.055224
0.01,2.094213,-0.056074
0.01,2.094207,-0.056923
0.01,2.094202,-0.057773
0.01,2.094196,-0.058623
0.01,2.094190,-0.059472
0.01,2.094184,-0.060322
0.01,2.094178,-0.061172
0.01,2.094172,-0.062021
0.01,2.094166,-0.062871
0.01,2.094159,-0.063721
0.01,2.094153,-0.064570
0.01,2.094147,-0.065420
0.01,2.094140,-0.066270
0.01,2.094133,-0.067119
0.01,2.094127,-0.067969
0.01,2.094120,-0.068819
0.01,2.094113,-0.069669
0.01,2.094106,-0.070518
0.01,2.094099,-0.071368
0.01,2.094092,-0.072218
0.01,2.094085,-0.073067
0.01,2.094077,-0.073917
0.01,2.094070,-0.074767
0.01,2.094062,-0.075617
0.01,2.094055,-0.076466
0.01,2.094047,-0.077316
0.01,2.094039,-0.078166
0.01,2.094032,-0.079016
0.01,2.094024,-0.079865
0.01,2.094016,-0.080715
0.01,2.094008,-0.081565
0.01,2.094000,-0.082415
0.01,2.093991,-0.083264
0.01,2.093983,-0.084114
0.01,2.093975,-0.084964
0.01,2.093966,-0.085814
0.01,2.093957,-0.086663
0.01,2.093949,-0.087513
0.01,2.093940,-0.088363
0.01,2.093931,-0.089213
0.01,2.093922,-0.090063
0.01,2.093913,-0.090912
0.01,2.093904,-0.091762
0.01,2.093895,-0.092612
0.01,2.093886,-0.093462
0.01,2.093876,-0.094312
0.01,2.093867,-0.095161
0.01,2.093857,-0.096011
0.01,2.093848,-0.096861
0.01,2.093838,-0.097711
0.01,2.093828,-0.098561
0.01,2.093819,-0.099411
0.01,2.093809,-0.100260
0.01,2.093799,-0.101110
0.01,2.093788,-0.101960
0.01,2.093778,-0.102810
0.01,2.093768,-0.103660
0.01,2.093758,-0.104510
0.01,2.093747,-0.105360
0.01,2.093737,-0.106210
0.01,2.093726,-0.107059
0.01,2.093715,-0.107909
0.01,2.093705,-0.108759
0.01,2.093694,-0.109609
0.01,2.093683,-0.110459
0.01,2.093672,-0.111309
0.01,2.093661,-0.112159
0.01,2.093649,-0.113009
0.01,2.093638,-0.113859
0.01,2.093627,-0.114709
0.01,2.093615,-0.115559
0.01,2.093604,-0.116409
0.01,2.093592,-0.117259
0.01,2.093580,-0.118109
0.01,2.093568,-0.118959
0.01,2.093557,-0.119809
0.01,2.093545,-0.120659
0.01,2.093532,-0.121509
0.01,2.093520,-0.122359
0.01,2.093508,-0.123209
0.01,2.093496,-0.124059
0.01,2.093483,-0.124909
0.01,2.093471,-0.125759
0.01,2.093458,-0.126609
0.01,2.093446,-0.127459
0.02,2.093433,-0.128309
0.02,2.093420,-0.129159
0.02,2.093407,-0.130009
0.02,2.093394,-0.130859
0.02,2.093381,-0.131709
0.02,2.093368,-0.132559
0.02,2.093355,-0.133409
0.02,2.093341,-0.134259
0.02,2.093328,-0.135109
0.02,2.093314,-0.135959
0.02,2.093301,-0.136809
0.02,2.093287,-0.137659
0.02,2.093273,-0.138510
0.02,2.093259,-0.139360
0.02,2.093246,-0.140210
0.02,2.093231,-0.141060
0.02,2.093217,-0.141910
0.02,2.093203,-0.142760
0.02,2.093189,-0.143610
0.02,2.093175,-0.144461
0.02,2.093160,-0.145311
0.02,2.093146,-0.146161
0.02,2.093131,-0.147011
0.02,2.093116,-0.147861
0.02,2.093101,-0.148711
0.02,2.093087,-0.149562
0.02,2.093072,-0.150412
0.02,2.093057,-0.151262
0.02,2.093041,-0.152112
0.02,2.093026,-0.152963
0.02,2.093011,-0.153813
0.02,2.092996,-0.154663
0.02,2.092980,-0.155513
0.02,2.092965,-0.156364
0.02,2.092949,-0.157214
0.02,2.092933,-0.158064
0.02,2.092917,-0.158914
0.02,2.092902,-0.159765
0.02,2.092886,-0.160615
0.02,2.092869,-0.161465
0.02,2.092853,-0.162316
0.02,2.092837,-0.163166
0.02,2.092821,-0.164016
0.02,2.092804,-0.164867
0.02,2.092788,-0.165717
0.02,2.092771,-0.166567
0.02,2.092755,-0.167418
0.02,2.092738,-0.168268
0.02,2.092721,-0.169118
0.02,2.092704,-0.169969
0.02,2.092687,-0.170819
0.02,2.092670,-0.171670
0.02,2.092653,-0.172520
0.02,2.092636,-0.173371
0.02,2.092618,-0.174221
0.02,2.092601,-0.175071
0.02,2.092583,-0.175922
0.02,2.092566,-0.176772
0.02,2.092548,-0.177623
0.02,2.092530,-0.178473
0.02,2.092513,-0.179324
0.02,2.092495,-0.180174
0.02,2.092477,-0.181025
0.02,2.092458,-0.181875
0.02,2.092440,-0.182726
0.02,2.092422,-0.183576
0.02,2.092404,-0.184427
0.02,2.092385,-0.185277
0.02,2.092367,-0.186128
0.02,2.092348,-0.186978
0.02,2.092329,-0.187829
0.02,2.092311,-0.188680
0.02,2.092292,-0.189530
0.02,2.092273,-0.190381
0.02,2.092254,-0.191231
0.02,2.092235,-0.192082
0.02,2.092215,-0.192933
0.02,2.092196,-0.193783
0.02,2.092177,-0.194634
0.02,2.092157,-0.195485
0.02,2.092138,-0.196335
0.02,2.092118,-0.197186
0.02,2.092098,-0.198037
0.02,2.092079,-0.198887
0.02,2.092059,-0.199738
0.02,2.092039,-0.200589
0.02,2.092019,-0.201439
0.02,2.091999,-0.202290
0.02,2.091978,-0.203141
0.02,2.091958,-0.203992
0.02,2.091938,-0.204842
0.02,2.091917,-0.205693
0.02,2.091897,-0.206544
0.02,2.091876,-0.207395
0.02,2.091855,-0.208246
0.02,2.091834,-0.209096
0.02,2.091813,-0.209947
0.02,2.091792,-0.210798
0.02,2.091771,-0.211649
0.02,2.091750,-0.212500
0.03,2.091729,-0.213351
0.03,2.091708,-0.214202
0.03,2.091686,-0.215052
0.03,2.091665,-0.215903
0.03,2.091643,-0.216754
0.03,2.091621,-0.217605
0.03,2.091600,-0.218456
0.03,2.091578,-0.219307
0.03,2.091556,-0.220158
0.03,2.091534,-0.221009
0.03,2.091512,-0.221860
0.03,2.091490,-0.222711
0.03,2.091467,-0.223562
0.03,2.091445,-0.224413
0.03,2.091422,-0.225264
0.03,2.091400,-0.226115
0.03,2.091377,-0.226966
0.03,2.091355,-0.227817
0.03,2.091332,-0.228668
0.03,2.091309,-0.229519
0.03,2.091286,-0.230370
0.03,2.091263,-0.231221
0.03,2.091240,-0.232072
0.03,2.091217,-0.232924
0.03,2.091193,-0.233775
0.03,2.091170,-0.234626
0.03,2.091147,-0.235477
0.03,2.091123,-0.236328
0.03,2.091099,-0.237179
0.03,2.091076,-0.238030
0.03,2.091052,-0.238882
0.03,2.091028,-0.239733
0.03,2.091004,-0.240584
0.03,2.090980,-0.241435
