TIME,ANGLE,ANGULAR_VELOCITY
0.00, 0.785397, 0.000000
0.01, 0.785051, -0.069359
0.02, 0.784010, -0.138670
0.03, 0.782278, -0.207885
0.04, 0.779853, -0.276955
0.05, 0.776739, -0.345831
0.06, 0.772937, -0.414466
0.07, 0.768451, -0.482810
0.08, 0.763282, -0.550813
0.09, 0.757436, -0.618426
0.10, 0.750915, -0.685597
0.11, 0.743726, -0.752277
0.12, 0.735872, -0.818414
0.13, 0.727359, -0.883956
0.14, 0.718195, -0.948850
0.15, 0.708385, -1.013043
0.16, 0.697936, -1.076481
0.17, 0.686858, -1.139110
0.18, 0.675157, -1.200875
0.19, 0.662843, -1.261721
0.20, 0.649926, -1.321590
0.21, 0.636415, -1.380428
0.22, 0.622321, -1.438176
0.23, 0.607655, -1.494778
0.24, 0.592429, -1.550176
0.25, 0.576656, -1.604312
0.26, 0.560347, -1.657130
0.27, 0.543518, -1.708570
0.28, 0.526181, -1.758575
0.29, 0.508351, -1.807089
0.30, 0.490044, -1.854054
0.31, 0.471276, -1.899415
0.32, 0.452061, -1.943115
0.33, 0.432419, -1.985101
0.34, 0.412365, -2.025319
0.35, 0.391919, -2.063717
0.36, 0.371097, -2.100243
0.37, 0.349920, -2.134850
0.38, 0.328407, -2.167490
0.39, 0.306577, -2.198117
0.40, 0.284451, -2.226688
0.41, 0.262050, -2.253163
0.42, 0.239395, -2.277504
0.43, 0.216507, -2.299674
0.44, 0.193409, -2.319641
0.45, 0.170122, -2.337375
0.46, 0.146669, -2.352850
0.47, 0.123073, -2.366041
0.48, 0.099356, -2.376930
0.49, 0.075542, -2.385498
0.50, 0.051654, -2.391733
0.51, 0.027715, -2.395625
0.52, 0.003749, -2.397169
0.53, -0.020221, -2.396361
0.54, -0.044170, -2.393203
0.55, -0.068077, -2.387700
0.56, -0.091917, -2.379860
0.57, -0.115666, -2.369696
0.58, -0.139303, -2.357222
0.59, -0.162803, -2.342460
0.60, -0.186144, -2.325429
0.61, -0.209304, -2.306158
0.62, -0.232260, -2.284673
0.63, -0.254990, -2.261008
0.64, -0.277473, -2.235197
0.65, -0.299687, -2.207277
0.66, -0.321612, -2.177288
0.67, -0.343226, -2.145273
0.68, -0.364511, -2.111277
0.69, -0.385445, -2.075345
0.70, -0.406011, -2.037527
0.71, -0.426190, -1.997873
0.72, -0.445963, -1.956435
0.73, -0.465313, -1.913265
0.74, -0.484222, -1.868418
0.75, -0.502676, -1.821948
0.76, -0.520656, -1.773913
0.77, -0.538149, -1.724368
0.78, -0.555139, -1.673370
0.79, -0.571612, -1.620978
0.80, -0.587554, -1.567248
0.81, -0.602952, -1.512238
0.82, -0.617795, -1.456006
0.83, -0.632069, -1.398610
0.84, -0.645763, -1.340107
0.85, -0.658867, -1.280555
0.86, -0.671371, -1.220008
0.87, -0.683264, -1.158525
0.88, -0.694538, -1.096160
0.89, -0.705185, -1.032969
0.90, -0.715195, -0.969007
0.91, -0.724562, -0.904326
0.92, -0.733280, -0.838981
0.93, -0.741340, -0.773025
0.94, -0.748738, -0.706509
0.95, -0.755469, -0.639486
0.96, -0.761526, -0.572006
0.97, -0.766907, -0.504119
0.98, -0.771608, -0.435877
0.99, -0.775624, -0.367328
1.00, -0.778953, -0.298522
1.01, -0.781594, -0.229507
1.02, -0.783543, -0.160332
1.03, -0.784800, -0.091046
1.04, -0.785364, -0.021697
1.05, -0.785234, 0.047667
1.06, -0.784410, 0.116999
1.07, -0.782894, 0.186249
1.08, -0.780686, 0.255369
1.09, -0.777787, 0.324311
1.10, -0.774200, 0.393027
1.11, -0.769928, 0.461467
1.12, -0.764972, 0.529582
1.13, -0.759337, 0.597322
1.14, -0.753027, 0.664637
1.15, -0.746046, 0.731477
1.16, -0.738399, 0.797789
1.17, -0.730092, 0.863523
1.18, -0.721131, 0.928625
1.19, -0.711522, 0.993043
1.20, -0.701273, 1.056723
1.21, -0.690390, 1.119611
1.22, -0.678883, 1.181652
1.23, -0.666760, 1.242791
1.24, -0.654030, 1.302972
1.25, -0.640704, 1.362138
1.26, -0.626791, 1.420234
1.27, -0.612303, 1.477200
1.28, -0.597251, 1.532981
1.29, -0.581648, 1.587518
1.30, -0.565505, 1.640754
1.31, -0.548837, 1.692631
1.32, -0.531657, 1.743092
1.33, -0.513980, 1.792078
1.34, -0.495821, 1.839534
1.35, -0.477195, 1.885403
1.36, -0.458118, 1.929628
1.37, -0.438608, 1.972156
1.38, -0.418681, 2.012933
1.39, -0.398355, 2.051905
1.40, -0.377649, 2.089022
1.41, -0.356581, 2.124235
1.42, -0.335171, 2.157495
1.43, -0.313438, 2.188756
1.44, -0.291403, 2.217975
1.45, -0.269085, 2.245110
1.46, -0.246507, 2.270122
1.47, -0.223690, 2.292975
1.48, -0.200655, 2.313634
1.49, -0.177425, 2.332070
1.50, -0.154021, 2.348254
1.51, -0.130467, 2.362162
1.52, -0.106786, 2.373773
1.53, -0.083000, 2.383068
1.54, -0.059132, 2.390034
1.55, -0.035207, 2.394660
1.56, -0.011247, 2.396939
1.57, 0.012724, 2.396866
1.58, 0.036683, 2.394443
1.59, 0.060605, 2.389673
1.60, 0.084468, 2.382562
1.61, 0.108249, 2.373124
1.62, 0.131923, 2.361371
1.63, 0.155468, 2.347322
1.64, 0.178862, 2.330998
1.65, 0.202081, 2.312425
1.66, 0.225103, 2.291629
1.67, 0.247906, 2.268643
1.68, 0.270469, 2.243499
1.69, 0.292769, 2.216234
1.70, 0.314786, 2.186888
1.71, 0.336500, 2.155502
1.72, 0.357890, 2.122120
1.73, 0.378936, 2.086789
1.74, 0.399619, 2.049556
1.75, 0.419921, 2.010471
1.76, 0.439823, 1.969585
1.77, 0.459307, 1.926951
1.78, 0.478356, 1.882622
1.79, 0.496954, 1.836654
1.80, 0.515084, 1.789103
1.81, 0.532731, 1.740024
1.82, 0.549879, 1.689474
1.83, 0.566516, 1.637512
1.84, 0.582625, 1.584194
1.85, 0.598195, 1.529578
1.86, 0.613213, 1.473723
1.87, 0.627666, 1.416685
1.88, 0.641543, 1.358522
1.89, 0.654832, 1.299291
1.90, 0.667525, 1.239050
1.91, 0.679610, 1.177854
1.92, 0.691079, 1.115759
1.93, 0.701923, 1.052820
1.94, 0.712133, 0.989093
1.95, 0.721702, 0.924631
1.96, 0.730623, 0.859489
1.97, 0.738890, 0.793718
1.98, 0.746496, 0.727372
1.99, 0.753435, 0.660501
2.00, 0.759704, 0.593159
2.01, 0.765297, 0.525394
2.02, 0.770211, 0.457258
2.03, 0.774441, 0.388799
2.04, 0.777986, 0.320068
2.05, 0.780842, 0.251113
2.06, 0.783007, 0.181983
2.07, 0.784481, 0.112727
2.08, 0.785262, 0.043392
2.09, 0.785349, -0.025972
2.10, 0.784742, -0.095319
2.11, 0.783443, -0.164600
2.12, 0.781451, -0.233766
2.13, 0.778768, -0.302769
2.14, 0.775396, -0.371561
2.15, 0.771338, -0.440093
2.16, 0.766595, -0.508315
2.17, 0.761172, -0.576177
2.18, 0.755073, -0.643631
2.19, 0.748301, -0.710624
2.20, 0.740862, -0.777107
2.21, 0.732761, -0.843027
2.22, 0.724004, -0.908333
2.23, 0.714597, -0.972970
2.24, 0.704547, -1.036887
2.25, 0.693862, -1.100029
2.26, 0.682549, -1.162341
2.27, 0.670618, -1.223768
2.28, 0.658077, -1.284255
2.29, 0.644936, -1.343744
2.30, 0.631205, -1.402181
2.31, 0.616896, -1.459507
2.32, 0.602019, -1.515664
2.33, 0.586587, -1.570597
2.34, 0.570611, -1.624246
2.35, 0.554106, -1.676554
2.36, 0.537085, -1.727464
2.37, 0.519562, -1.776918
2.38, 0.501552, -1.824859
2.39, 0.483070, -1.871230
2.40, 0.464133, -1.915975
2.41, 0.444756, -1.959040
2.42, 0.424958, -2.000370
2.43, 0.404755, -2.039912
2.44, 0.384165, -2.077615
2.45, 0.363209, -2.113428
2.46, 0.341903, -2.147304
2.47, 0.320269, -2.179195
2.48, 0.298326, -2.209058
2.49, 0.276095, -2.236849
2.50, 0.253596, -2.262529
2.51, 0.230852, -2.286061
2.52, 0.207882, -2.307410
2.53, 0.184711, -2.326544
2.54, 0.161359, -2.343435
2.55, 0.137850, -2.358058
2.56, 0.114205, -2.370389
2.57, 0.090449, -2.380410
2.58, 0.066605, -2.388106
2.59, 0.042695, -2.393465
2.60, 0.018743, -2.396479
2.61, -0.005227, -2.397142
2.62, -0.029192, -2.395453
2.63, -0.053128, -2.391416
2.64, -0.077012, -2.385037
2.65, -0.100821, -2.376326
2.66, -0.124531, -2.365295
2.67, -0.148119, -2.351962
2.68, -0.171562, -2.336347
2.69, -0.194838, -2.318475
2.70, -0.217925, -2.298371
2.71, -0.240799, -2.276066
2.72, -0.263439, -2.251593
2.73, -0.285823, -2.224988
2.74, -0.307931, -2.196288
2.75, -0.329742, -2.165536
2.76, -0.351235, -2.132774
2.77, -0.372391, -2.098047
2.78, -0.393190, -2.061403
2.79, -0.413613, -2.022892
2.80, -0.433642, -1.982564
2.81, -0.453258, -1.940471
2.82, -0.472445, -1.896666
2.83, -0.491186, -1.851205
2.84, -0.509464, -1.804143
2.85, -0.527264, -1.755536
2.86, -0.544570, -1.705440
2.87, -0.561368, -1.653913
2.88, -0.577644, -1.601013
2.89, -0.593384, -1.546797
2.90, -0.608575, -1.491323
2.91, -0.623206, -1.434649
2.92, -0.637265, -1.376832
2.93, -0.650739, -1.317929
2.94, -0.663620, -1.257998
2.95, -0.675896, -1.197094
2.96, -0.687559, -1.135274
2.97, -0.698599, -1.072594
2.98, -0.709008, -1.009108
2.99, -0.718778, -0.944870
3.00, -0.727903, -0.879934
3.01, -0.736375, -0.814354
3.02, -0.744188, -0.748183
3.03, -0.751337, -0.681471
3.04, -0.757816, -0.614270
3.05, -0.763621, -0.546632
3.06, -0.768747, -0.478607
3.07, -0.773192, -0.410244
3.08, -0.776951, -0.341593
3.09, -0.780023, -0.272702
3.10, -0.782404, -0.203622
3.11, -0.784095, -0.134400
3.12, -0.785092, -0.065085
3.13, -0.785396, 0.004276
3.14, -0.785007, 0.073633
3.15, -0.783924, 0.142940
3.16, -0.782148, 0.212147
3.17, -0.779681, 0.281206
3.18, -0.776525, 0.350069
3.19, -0.772681, 0.418688
3.20, -0.768152, 0.487012
3.21, -0.762942, 0.554992
3.22, -0.757053, 0.622579
3.23, -0.750491, 0.689722
3.24, -0.743261, 0.756370
3.25, -0.735366, 0.822472
3.26, -0.726813, 0.887975
3.27, -0.717609, 0.952828
3.28, -0.707759, 1.016976
3.29, -0.697272, 1.080366
3.30, -0.686154, 1.142943
3.31, -0.674416, 1.204653
3.32, -0.662064, 1.265440
3.33, -0.649110, 1.325247
3.34, -0.635563, 1.384019
3.35, -0.621433, 1.441699
3.36, -0.606733, 1.498228
3.37, -0.591473, 1.553550
3.38, -0.575666, 1.607607
3.39, -0.559325, 1.660341
3.40, -0.542464, 1.711694
3.41, -0.525096, 1.761609
3.42, -0.507237, 1.810029
3.43, -0.488901, 1.856897
3.44, -0.470104, 1.902157
3.45, -0.450863, 1.945754
3.46, -0.431195, 1.987632
3.47, -0.411116, 2.027739
3.48, -0.390646, 2.066023
3.49, -0.369802, 2.102433
3.50, -0.348604, 2.136919
3.51, -0.327070, 2.169436
3.52, -0.305222, 2.199938
3.53, -0.283078, 2.228381
3.54, -0.260661, 2.254726
3.55, -0.237991, 2.278934
3.56, -0.215090, 2.300969
3.57, -0.191979, 2.320799
3.58, -0.168681, 2.338395
3.59, -0.145219, 2.353729
3.60, -0.121614, 2.366779
3.61, -0.097891, 2.377525
3.62, -0.074071, 2.385950
3.63, -0.050179, 2.392041
3.64, -0.026238, 2.395788
3.65, -0.002271, 2.397187
3.66, 0.021698, 2.396234
3.67, 0.045645, 2.392931
3.68, 0.069548, 2.387284
3.69, 0.093383, 2.379300
3.70, 0.117127, 2.368993
3.71, 0.140755, 2.356379
3.72, 0.164247, 2.341475
3.73, 0.187577, 2.324306
3.74, 0.210725, 2.304897
3.75, 0.233668, 2.283277
3.76, 0.256384, 2.259479
3.77, 0.278850, 2.233536
3.78, 0.301047, 2.205488
3.79, 0.322953, 2.175373
3.80, 0.344548, 2.143234
3.81, 0.365811, 2.109117
3.82, 0.386724, 2.073068
3.83, 0.407266, 2.035136
3.84, 0.427420, 1.995370
3.85, 0.447168, 1.953823
3.86, 0.466491, 1.910549
3.87, 0.485373, 1.865600
3.88, 0.503798, 1.819032
3.89, 0.521749, 1.770902
3.90, 0.539211, 1.721266
3.91, 0.556169, 1.670181
3.92, 0.572610, 1.617704
3.93, 0.588519, 1.563893
3.94, 0.603883, 1.508807
3.95, 0.618691, 1.452502
3.96, 0.632930, 1.395036
3.97, 0.646588, 1.336467
3.98, 0.659655, 1.276851
3.99, 0.672122, 1.216245
4.00, 0.683977, 1.154706
4.01, 0.695213, 1.092289
4.02, 0.705820, 1.029049
4.03, 0.715791, 0.965040
4.04, 0.725119, 0.900317
4.05, 0.733795, 0.834933
4.06, 0.741815, 0.768941
4.07, 0.749172, 0.702392
4.08, 0.755861, 0.635339
4.09, 0.761878, 0.567833
4.10, 0.767217, 0.499923
4.11, 0.771875, 0.431660
4.12, 0.775849, 0.363094
4.13, 0.779136, 0.294273
4.14, 0.781734, 0.225247
4.15, 0.783640, 0.156064
4.16, 0.784855, 0.086773
4.17, 0.785376, 0.017421
4.18, 0.785203, -0.051942
4.19, 0.784337, -0.121270
4.20, 0.782778, -0.190513
4.21, 0.780527, -0.259624
4.22, 0.777586, -0.328554
4.23, 0.773957, -0.397254
4.24, 0.769642, -0.465676
4.25, 0.764644, -0.533769
4.26, 0.758968, -0.601484
4.27, 0.752616, -0.668772
4.28, 0.745594, -0.735580
4.29, 0.737906, -0.801858
4.30, 0.729559, -0.867554
4.31, 0.720557, -0.932616
4.32, 0.710909, -0.996990
4.33, 0.700620, -1.060623
4.34, 0.689699, -1.123460
4.35, 0.678154, -1.185447
4.36, 0.665993, -1.246529
4.37, 0.653226, -1.306649
4.38, 0.639863, -1.365751
4.39, 0.625915, -1.423778
4.40, 0.611392, -1.480673
4.41, 0.596305, -1.536379
4.42, 0.580668, -1.590838
4.43, 0.564493, -1.643992
4.44, 0.547793, -1.695783
4.45, 0.530582, -1.746155
4.46, 0.512875, -1.795048
4.47, 0.494686, -1.842408
4.48, 0.476032, -1.888177
4.49, 0.456928, -1.932299
4.50, 0.437391, -1.974721
4.51, 0.417439, -2.015388
4.52, 0.397090, -2.054247
4.53, 0.376361, -2.091248
4.54, 0.355271, -2.126342
4.55, 0.333840, -2.159480
4.56, 0.312088, -2.190617
4.57, 0.290035, -2.219708
4.58, 0.267701, -2.246714
4.59, 0.245108, -2.271594
4.60, 0.222276, -2.294312
4.61, 0.199229, -2.314835
4.62, 0.175987, -2.333133
4.63, 0.152574, -2.349177
4.64, 0.129011, -2.362944
4.65, 0.105322, -2.374413
4.66, 0.081531, -2.383565
4.67, 0.057659, -2.390387
4.68, 0.033731, -2.394869
4.69, 0.009769, -2.397002
4.70, -0.014202, -2.396785
4.71, -0.038159, -2.394217
4.72, -0.062078, -2.389302
4.73, -0.085937, -2.382048
4.74, -0.109711, -2.372466
4.75, -0.133378, -2.360571
4.76, -0.156915, -2.346381
4.77, -0.180298, -2.329918
4.78, -0.203506, -2.311207
4.79, -0.226515, -2.290275
4.80, -0.249304, -2.267155
4.81, -0.271851, -2.241879
4.82, -0.294135, -2.214485
4.83, -0.316134, -2.185012
4.84, -0.337828, -2.153502
4.85, -0.359197, -2.119999
4.86, -0.380222, -2.084549
4.87, -0.400882, -2.047200
4.88, -0.421159, -2.008002
4.89, -0.441036, -1.967007
4.90, -0.460494, -1.924267
4.91, -0.479516, -1.879836
4.92, -0.498085, -1.833769
4.93, -0.516186, -1.786121
4.94, -0.533802, -1.736950
4.95, -0.550920, -1.686312
4.96, -0.567524, -1.634264
4.97, -0.583601, -1.580864
4.98, -0.599137, -1.526171
4.99, -0.614120, -1.470241
5.00, -0.628538, -1.413132
5.01, -0.642379, -1.354901
5.02, -0.655632, -1.295607
5.03, -0.668288, -1.235305
5.04, -0.680335, -1.174052
5.05, -0.691766, -1.111903
5.06, -0.702570, -1.048914
5.07, -0.712741, -0.985140
5.08, -0.722271, -0.920635
5.09, -0.731152, -0.855452
5.10, -0.739378, -0.789645
5.11, -0.746943, -0.723264
5.12, -0.753841, -0.656364
5.13, -0.760068, -0.588993
5.14, -0.765620, -0.521204
5.15, -0.770491, -0.453047
5.16, -0.774680, -0.384570
5.17, -0.778182, -0.315824
5.18, -0.780995, -0.246857
5.19, -0.783118, -0.177718
5.20, -0.784549, -0.108455
5.21, -0.785287, -0.039117
5.22, -0.785332, 0.030248
5.23, -0.784682, 0.099592
5.24, -0.783340, 0.168867
5.25, -0.781305, 0.238024
5.26, -0.778580, 0.307016
5.27, -0.775166, 0.375793
5.28, -0.771065, 0.444307
5.29, -0.766281, 0.512508
5.30, -0.760816, 0.580347
5.31, -0.754675, 0.647774
5.32, -0.747862, 0.714738
