TIME,ANGLE,ANGULAR_VELOCITY
0.00,-0.523599,0.000000
0.01,-0.523354,0.049043
0.02,-0.522618,0.098044
0.03,-0.521393,0.146962
0.04,-0.519679,0.195756
0.05,-0.517478,0.244382
0.06,-0.514792,0.292800
0.07,-0.511623,0.340968
0.08,-0.507974,0.388844
0.09,-0.503847,0.436387
0.10,-0.499247,0.483555
0.11,-0.494178,0.530307
0.12,-0.488643,0.576601
0.13,-0.482647,0.622395
0.14,-0.476197,0.667648
0.15,-0.469296,0.712320
0.16,-0.461952,0.756368
0.17,-0.454171,0.799752
0.18,-0.445960,0.842431
0.19,-0.437325,0.884364
0.20,-0.428275,0.925512
0.21,-0.418818,0.965833
0.22,-0.408961,1.005289
0.23,-0.398715,1.043840
0.24,-0.388088,1.081448
0.25,-0.377089,1.118073
0.26,-0.365730,1.153679
0.27,-0.354019,1.188228
0.28,-0.341969,1.221684
0.29,-0.329589,1.254011
0.30,-0.316892,1.285173
0.31,-0.303890,1.315138
0.32,-0.290594,1.343872
0.33,-0.277016,1.371343
0.34,-0.263171,1.397520
0.35,-0.249070,1.422374
0.36,-0.234728,1.445875
0.37,-0.220158,1.467997
0.38,-0.205373,1.488713
0.39,-0.190388,1.508000
0.40,-0.175218,1.525835
0.41,-0.159876,1.542196
0.42,-0.144379,1.557063
0.43,-0.128740,1.570419
0.44,-0.112975,1.582247
0.45,-0.097100,1.592533
0.46,-0.081130,1.601264
0.47,-0.065080,1.608430
0.48,-0.048967,1.614021
0.49,-0.032805,1.618031
0.50,-0.016611,1.620455
0.51,-0.000401,1.621290
0.52,0.015809,1.620534
0.53,0.032004,1.618189
0.54,0.048168,1.614257
0.55,0.064284,1.608744
0.56,0.080337,1.601656
0.57,0.096312,1.593002
0.58,0.112192,1.582792
0.59,0.127963,1.571040
0.60,0.143608,1.557760
0.61,0.159113,1.542967
0.62,0.174462,1.526680
0.63,0.189641,1.508918
0.64,0.204636,1.489702
0.65,0.219431,1.469055
0.66,0.234012,1.447003
0.67,0.248366,1.423569
0.68,0.262479,1.398782
0.69,0.276337,1.372670
0.70,0.289928,1.345262
0.71,0.303238,1.316590
0.72,0.316256,1.286685
0.73,0.328968,1.255581
0.74,0.341364,1.223311
0.75,0.353431,1.189910
0.76,0.365158,1.155414
0.77,0.376535,1.119860
0.78,0.387552,1.083284
0.79,0.398198,1.045724
0.80,0.408463,1.007219
0.81,0.418339,0.967807
0.82,0.427816,0.927527
0.83,0.436887,0.886420
0.84,0.445542,0.844524
0.85,0.453775,0.801881
0.86,0.461577,0.758531
0.87,0.468943,0.714515
0.88,0.475866,0.669873
0.89,0.482339,0.624648
0.90,0.488357,0.578879
0.91,0.493915,0.532609
0.92,0.499007,0.485879
0.93,0.503631,0.438731
0.94,0.507781,0.391205
0.95,0.511454,0.343345
0.96,0.514647,0.295190
0.97,0.517357,0.246784
0.98,0.519582,0.198167
0.99,0.521320,0.149381
1.00,0.522569,0.100468
1.01,0.523329,0.051470
1.02,0.523598,0.002428
1.03,0.523377,-0.046616
1.04,0.522666,-0.095621
1.05,0.521465,-0.144544
1.06,0.519776,-0.193344
1.07,0.517599,-0.241980
1.08,0.514937,-0.290409
1.09,0.511791,-0.338590
1.10,0.508166,-0.386482
1.11,0.504063,-0.434043
1.12,0.499486,-0.481230
1.13,0.494440,-0.528003
1.14,0.488928,-0.574321
1.15,0.482955,-0.620141
1.16,0.476527,-0.665422
1.17,0.469648,-0.710123
1.18,0.462326,-0.754203
