TIME,ANGLE,ANGULAR_VELOCITY
0.00, 3.141590, 0.000000
0.01, 3.141590, -0.000000
0.02, 3.141590, -0.000001
0.03, 3.141590, -0.000001
0.04, 3.141590, -0.000001
0.05, 3.141590, -0.000001
0.06, 3.141590, -0.000002
0.07, 3.141590, -0.000002
0.08, 3.141590, -0.000002
0.09, 3.141590, -0.000002
0.10, 3.141590, -0.000003
0.11, 3.141590, -0.000003
0.12, 3.141590, -0.000003
0.13, 3.141590, -0.000003
0.14, 3.141590, -0.000004
0.15, 3.141590, -0.000004
0.16, 3.141590, -0.000004
0.17, 3.141590, -0.000005
0.18, 3.141590, -0.000005
0.19, 3.141590, -0.000005
0.20, 3.141589, -0.000006
0.21, 3.141589, -0.000006
0.22, 3.141589, -0.000006
0.23, 3.141589, -0.000007
0.24, 3.141589, -0.000007
0.25, 3.141589, -0.000007
0.26, 3.141589, -0.000008
0.27, 3.141589, -0.000008
0.28, 3.141589, -0.000008
0.29, 3.141589, -0.000009
0.30, 3.141589, -0.000009
0.31, 3.141589, -0.000009
0.32, 3.141589, -0.000010
0.33, 3.141588, -0.000010
0.34, 3.141588, -0.000011
0.35, 3.141588, -0.000011
0.36, 3.141588, -0.000011
0.37, 3.141588, -0.000012
0.38, 3.141588, -0.000012
0.39, 3.141588, -0.000013
0.40, 3.141588, -0.000013
0.41, 3.141587, -0.000014
0.42, 3.141587, -0.000014
0.43, 3.141587, -0.000015
0.44, 3.141587, -0.000015
0.45, 3.141587, -0.000016
0.46, 3.141587, -0.000017
0.47, 3.141587, -0.000017
0.48, 3.141586, -0.000018
0.49, 3.141586, -0.000018
0.50, 3.141586, -0.000019
0.51, 3.141586, -0.000020
0.52, 3.141586, -0.000020
0.53, 3.141585, -0.000021
0.54, 3.141585, -0.000022
0.55, 3.141585, -0.000023
0.56, 3.141585, -0.000023
0.57, 3.141585, -0.000024
0.58, 3.141584, -0.000025
0.59, 3.141584, -0.000026
0.60, 3.141584, -0.000027
0.61, 3.141583, -0.000027
0.62, 3.141583, -0.000028
0.63, 3.141583, -0.000029
0.64, 3.141583, -0.000030
0.65, 3.141582, -0.000031
0.66, 3.141582, -0.000032
0.67, 3.141582, -0.000033
0.68, 3.141581, -0.000034
0.69, 3.141581, -0.000036
0.70, 3.141581, -0.000037
0.71, 3.141580, -0.000038
0.72, 3.141580, -0.000039
0.73, 3.141579, -0.000040
0.74, 3.141579, -0.000042
0.75, 3.141579, -0.000043
0.76, 3.141578, -0.000045
0.77, 3.141578, -0.000046
0.78, 3.141577, -0.000047
0.79, 3.141577, -0.000049
0.80, 3.141576, -0.000051
0.81, 3.141576, -0.000052
0.82, 3.141575, -0.000054
0.83, 3.141575, -0.000056
0.84, 3.141574, -0.000057
0.85, 3.141574, -0.000059
0.86, 3.141573, -0.000061
0.87, 3.141572, -0.000063
0.88, 3.141572, -0.000065
0.89, 3.141571, -0.000067
0.90, 3.141570, -0.000069
0.91, 3.141570, -0.000072
0.92, 3.141569, -0.000074
0.93, 3.141568, -0.000076
0.94, 3.141567, -0.000079
0.95, 3.141567, -0.000081
0.96, 3.141566, -0.000084
0.97, 3.141565, -0.000087
0.98, 3.141564, -0.000089
0.99, 3.141563, -0.000092
1.00, 3.141562, -0.000095
1.01, 3.141561, -0.000098
1.02, 3.141560, -0.000101
1.03, 3.141559, -0.000104
1.04, 3.141558, -0.000108
1.05, 3.141557, -0.000111
1.06, 3.141556, -0.000115
1.07, 3.141555, -0.000118
1.08, 3.141554, -0.000122
1.09, 3.141552, -0.000126
1.10, 3.141551, -0.000130
1.11, 3.141550, -0.000134
1.12, 3.141548, -0.000139
1.13, 3.141547, -0.000143
1.14, 3.141545, -0.000148
1.15, 3.141544, -0.000152
1.16, 3.141542, -0.000157
1.17, 3.141541, -0.000162
1.18, 3.141539, -0.000167
1.19, 3.141537, -0.000173
1.20, 3.141536, -0.000178
1.21, 3.141534, -0.000184
1.22, 3.141532, -0.000190
1.23, 3.141530, -0.000196
1.24, 3.141528, -0.000202
1.25, 3.141526, -0.000208
1.26, 3.141524, -0.000215
1.27, 3.141522, -0.000222
1.28, 3.141520, -0.000229
1.29, 3.141517, -0.000236
1.30, 3.141515, -0.000244
1.31, 3.141512, -0.000251
1.32, 3.141510, -0.000259
1.33, 3.141507, -0.000268
1.34, 3.141504, -0.000276
1.35, 3.141502, -0.000285
1.36, 3.141499, -0.000294
1.37, 3.141496, -0.000303
1.38, 3.141493, -0.000313
1.39, 3.141489, -0.000323
1.40, 3.141486, -0.000333
1.41, 3.141483, -0.000344
1.42, 3.141479, -0.000355
1.43, 3.141476, -0.000366
1.44, 3.141472, -0.000378
1.45, 3.141468, -0.000390
1.46, 3.141464, -0.000402
1.47, 3.141460, -0.000415
1.48, 3.141456, -0.000428
1.49, 3.141452, -0.000442
1.50, 3.141447, -0.000456
1.51, 3.141442, -0.000471
1.52, 3.141438, -0.000485
1.53, 3.141433, -0.000501
1.54, 3.141428, -0.000517
1.55, 3.141422, -0.000533
1.56, 3.141417, -0.000550
1.57, 3.141411, -0.000568
1.58, 3.141406, -0.000586
1.59, 3.141400, -0.000605
1.60, 3.141393, -0.000624
1.61, 3.141387, -0.000644
1.62, 3.141381, -0.000664
1.63, 3.141374, -0.000685
1.64, 3.141367, -0.000707
1.65, 3.141360, -0.000730
1.66, 3.141352, -0.000753
1.67, 3.141345, -0.000777
1.68, 3.141337, -0.000801
1.69, 3.141329, -0.000827
1.70, 3.141320, -0.000853
1.71, 3.141312, -0.000880
1.72, 3.141303, -0.000908
1.73, 3.141293, -0.000937
1.74, 3.141284, -0.000967
1.75, 3.141274, -0.000998
1.76, 3.141264, -0.001030
1.77, 3.141253, -0.001062
1.78, 3.141243, -0.001096
1.79, 3.141232, -0.001131
1.80, 3.141220, -0.001167
1.81, 3.141208, -0.001204
1.82, 3.141196, -0.001242
1.83, 3.141183, -0.001282
1.84, 3.141170, -0.001323
1.85, 3.141157, -0.001365
1.86, 3.141143, -0.001408
1.87, 3.141129, -0.001453
1.88, 3.141114, -0.001499
1.89, 3.141099, -0.001547
1.90, 3.141083, -0.001596
1.91, 3.141067, -0.001647
1.92, 3.141050, -0.001699
1.93, 3.141033, -0.001754
1.94, 3.141015, -0.001809
1.95, 3.140997, -0.001867
1.96, 3.140978, -0.001926
1.97, 3.140958, -0.001988
1.98, 3.140938, -0.002051
1.99, 3.140917, -0.002116
2.00, 3.140896, -0.002183
2.01, 3.140873, -0.002253
2.02, 3.140850, -0.002325
2.03, 3.140827, -0.002399
