TIME,ANGLE,ANGULAR_VELOCITY
0.00,-1.570796,0.000000
0.01,-1.570306,0.098100
0.02,-1.568834,0.196200
0.03,-1.566382,0.294299
0.04,-1.562948,0.392398
0.05,-1.558534,0.490493
0.06,-1.553139,0.588582
0.07,-1.546762,0.686660
0.08,-1.539405,0.784723
0.09,-1.531068,0.882761
0.10,-1.521750,0.980764
0.11,-1.511453,1.078720
0.12,-1.500176,1.176613
0.13,-1.487921,1.274424
0.14,-1.474688,1.372132
0.15,-1.460479,1.469710
0.16,-1.445294,1.567128
0.17,-1.429137,1.664354
0.18,-1.412008,1.761350
0.19,-1.393911,1.858071
0.20,-1.374848,1.954472
0.21,-1.354822,2.050498
0.22,-1.333839,2.146093
0.23,-1.311902,2.241194
0.24,-1.289017,2.335731
0.25,-1.265190,2.429630
0.26,-1.240427,2.522812
0.27,-1.214736,2.615191
0.28,-1.188126,2.706675
0.29,-1.160606,2.797167
0.30,-1.132186,2.886564
0.31,-1.102879,2.974758
0.32,-1.072696,3.061635
0.33,-1.041651,3.147077
0.34,-1.009759,3.230961
0.35,-0.977037,3.313157
0.36,-0.943502,3.393535
0.37,-0.909173,3.471959
0.38,-0.874070,3.548290
0.39,-0.838215,3.622386
0.40,-0.801630,3.694107
0.41,-0.764341,3.763306
0.42,-0.726373,3.829841
0.43,-0.687753,3.893567
0.44,-0.648511,3.954342
0.45,-0.608677,4.012026
0.46,-0.568282,4.066481
0.47,-0.527358,4.117574
0.48,-0.485942,4.165177
0.49,-0.444067,4.209168
0.50,-0.401771,4.249430
0.51,-0.359091,4.285857
0.52,-0.316067,4.318348
0.53,-0.272738,4.346813
0.54,-0.229144,4.371173
0.55,-0.185328,4.391358
0.56,-0.141331,4.407309
0.57,-0.097196,4.418981
0.58,-0.052966,4.426340
0.59,-0.008684,4.429363
0.60,0.035607,4.428043
0.61,0.079863,4.422382
0.62,0.124040,4.412398
0.63,0.168096,4.398120
0.64,0.211988,4.379589
0.65,0.255674,4.356858
0.66,0.299112,4.329994
0.67,0.342260,4.299071
0.68,0.385080,4.264176
0.69,0.427531,4.225405
0.70,0.469575,4.182863
0.71,0.511176,4.136662
0.72,0.552297,4.086922
0.73,0.592903,4.033770
0.74,0.632961,3.977336
0.75,0.672439,3.917756
0.76,0.711306,3.855171
0.77,0.749533,3.789720
0.78,0.787092,3.721548
0.79,0.823956,3.650799
0.80,0.860100,3.577617
0.81,0.895500,3.502145
0.82,0.930135,3.424525
0.83,0.963984,3.344898
0.84,0.997027,3.263398
0.85,1.029246,3.180161
0.86,1.060625,3.095315
0.87,1.091148,3.008986
0.88,1.120800,2.921294
0.89,1.149569,2.832355
0.90,1.177443,2.742280
0.91,1.204411,2.651173
0.92,1.230464,2.559134
0.93,1.255591,2.466257
0.94,1.279786,2.372629
0.95,1.303042,2.278333
0.96,1.325351,2.183445
0.97,1.346709,2.088036
0.98,1.367110,1.992171
0.99,1.386551,1.895911
1.00,1.405027,1.799309
1.01,1.422536,1.702416
1.02,1.439075,1.605276
1.03,1.454641,1.507928
1.04,1.469233,1.410409
1.05,1.482849,1.312749
1.06,1.495487,1.214975
1.07,1.507148,1.117112
1.08,1.517829,1.019179
1.09,1.527531,0.921192
1.10,1.536253,0.823167
1.11,1.543995,0.725113
1.12,1.550755,0.627040
1.13,1.556535,0.528954
1.14,1.561334,0.430861
1.15,1.565152,0.332764
1.16,1.567990,0.234665
1.17,1.569846,0.136565
1.18,1.570721,0.038465
1.19,1.570615,-0.059635
1.20,1.569528,-0.157735
1.21,1.567460,-0.255835
1.22,1.564412,-0.353934
1.23,1.560382,-0.452030
1.24,1.555371,-0.550122
1.25,1.549379,-0.648205
1.26,1.542407,-0.746275
1.27,1.534454,-0.844324
1.28,1.525520,-0.942342
1.29,1.515607,-1.040318
1.30,1.504714,-1.138238
1.31,1.492843,-1.236084
1.32,1.479993,-1.333835
1.33,1.466166,-1.431467
1.34,1.451364,-1.528952
1.35,1.435588,-1.626258
1.36,1.418840,-1.723348
1.37,1.401122,-1.820182
1.38,1.382437,-1.916715
1.39,1.362789,-2.012894
1.40,1.342181,-2.108666
1.41,1.320617,-2.203968
1.42,1.298103,-2.298735
1.43,1.274644,-2.392894
1.44,1.250247,-2.486367
1.45,1.224919,-2.579071
1.46,1.198669,-2.670917
1.47,1.171504,-2.761809
1.48,1.143436,-2.851648
1.49,1.114475,-2.940328
1.50,1.084634,-3.027735
1.51,1.053925,-3.113755
1.52,1.022364,-3.198264
1.53,0.989965,-3.281138
1.54,0.956747,-3.362245
1.55,0.922727,-3.441451
1.56,0.887925,-3.518619
1.57,0.852362,-3.593609
1.58,0.816060,-3.666278
1.59,0.779044,-3.736483
1.60,0.741339,-3.804080
1.61,0.702972,-3.868924
1.62,0.663970,-3.930873
1.63,0.624365,-3.989785
1.64,0.584185,-4.045523
1.65,0.543465,-4.097949
1.66,0.502238,-4.146936
1.67,0.460538,-4.192357
1.68,0.418403,-4.234095
1.69,0.375869,-4.272038
1.70,0.332975,-4.306083
1.71,0.289761,-4.336137
