TIME,ANGLE,ANGULAR_VELOCITY
0.00, 2.093333, 0.000000
0.01, 2.092908, -0.085016
0.02, 2.091633, -0.170074
0.03, 2.089507, -0.255214
0.04, 2.086528, -0.340479
0.05, 2.082696, -0.425908
0.06, 2.078009, -0.511542
0.07, 2.072465, -0.597420
0.08, 2.066060, -0.683579
0.09, 2.058792, -0.770057
0.10, 2.050658, -0.856889
0.11, 2.041653, -0.944109
0.12, 2.031774, -1.031749
0.13, 2.021017, -1.119839
0.14, 2.009376, -1.208407
0.15, 1.996847, -1.297478
0.16, 1.983424, -1.387075
0.17, 1.969103, -1.477217
0.18, 1.953878, -1.567921
0.19, 1.937743, -1.659200
0.20, 1.920692, -1.751062
0.21, 1.902720, -1.843512
0.22, 1.883820, -1.936552
0.23, 1.863987, -2.030176
0.24, 1.843215, -2.124375
0.25, 1.821497, -2.219135
0.26, 1.798830, -2.314434
0.27, 1.775207, -2.410246
0.28, 1.750624, -2.506537
0.29, 1.725075, -2.603268
0.30, 1.698557, -2.700390
0.31, 1.671066, -2.797849
0.32, 1.642599, -2.895582
0.33, 1.613154, -2.993518
0.34, 1.582728, -3.091578
0.35, 1.551322, -3.189673
0.36, 1.518935, -3.287707
0.37, 1.485568, -3.385573
0.38, 1.451224, -3.483155
0.39, 1.415907, -3.580329
0.40, 1.379620, -3.676960
0.41, 1.342370, -3.772905
0.42, 1.304164, -3.868011
0.43, 1.265013, -3.962116
0.44, 1.224926, -4.055051
0.45, 1.183916, -4.146637
0.46, 1.141998, -4.236687
0.47, 1.099188, -4.325008
0.48, 1.055505, -4.411402
0.49, 1.010967, -4.495663
0.50, 0.965599, -4.577581
0.51, 0.919424, -4.656944
0.52, 0.872470, -4.733538
0.53, 0.824764, -4.807146
0.54, 0.776337, -4.877553
0.55, 0.727224, -4.944547
0.56, 0.677458, -5.007917
0.57, 0.627078, -5.067461
0.58, 0.576123, -5.122979
0.59, 0.524633, -5.174284
0.60, 0.472652, -5.221197
0.61, 0.420224, -5.263551
0.62, 0.367396, -5.301191
0.63, 0.314216, -5.333979
0.64, 0.260733, -5.361793
0.65, 0.206997, -5.384525
0.66, 0.153060, -5.402090
0.67, 0.098973, -5.414419
0.68, 0.044789, -5.421464
0.69, -0.009439, -5.423198
0.70, -0.063657, -5.419614
0.71, -0.117813, -5.410725
0.72, -0.171854, -5.396567
0.73, -0.225727, -5.377195
0.74, -0.279381, -5.352683
0.75, -0.332764, -5.323125
0.76, -0.385827, -5.288633
0.77, -0.438521, -5.249336
0.78, -0.490798, -5.205377
0.79, -0.542613, -5.156916
0.80, -0.593922, -5.104123
0.81, -0.644682, -5.047182
0.82, -0.694852, -4.986283
0.83, -0.744395, -4.921628
0.84, -0.793273, -4.853422
