TIME,ANGLE,ANGULAR_VELOCITY
0.00,4.450590,-2.000000
0.00,4.450390,-1.999052
0.00,4.450190,-1.998105
0.00,4.449990,-1.997157
0.00,4.449790,-1.996210
0.00,4.449591,-1.995263
0.00,4.449391,-1.994315
0.00,4.449192,-1.993368
0.00,4.448992,-1.992421
0.00,4.448793,-1.991474
0.00,4.448594,-1.990527
0.00,4.448395,-1.989579
0.00,4.448196,-1.988632
0.00,4.447997,-1.987686
0.00,4.447798,-1.986739
0.00,4.447600,-1.985792
0.00,4.447401,-1.984845
0.00,4.447202,-1.983898
0.00,4.447004,-1.982951
0.00,4.446806,-1.982005
0.00,4.446608,-1.981058
0.00,4.446409,-1.980112
0.00,4.446211,-1.979165
0.00,4.446014,-1.978219
0.00,4.445816,-1.977272
0.00,4.445618,-1.976326
0.00,4.445420,-1.975380
0.00,4.445223,-1.974433
0.00,4.445025,-1.973487
0.00,4.444828,-1.972541
0.00,4.444631,-1.971595
0.00,4.444434,-1.970649
0.00,4.444237,-1.969703
0.00,4.444040,-1.968757
0.00,4.443843,-1.967811
0.00,4.443646,-1.966865
0.00,4.443449,-1.965919
0.00,4.443253,-1.964974
0.00,4.443056,-1.964028
0.00,4.442860,-1.963082
0.00,4.442663,-1.962137
0.00,4.442467,-1.961191
0.00,4.442271,-1.960246
0.00,4.442075,-1.959300
0.00,4.441879,-1.958355
0.00,4.441683,-1.957410
0.00,4.441488,-1.956464
0.00,4.441292,-1.955519
0.00,4.441096,-1.954574
0.00,4.440901,-1.953629
0.01,4.440706,-1.952684
0.01,4.440510,-1.951739
0.01,4.440315,-1.950794
0.01,4.440120,-1.949849
0.01,4.439925,-1.948904
0.01,4.439730,-1.947959
0.01,4.439535,-1.947014
0.01,4.439341,-1.946070
0.01,4.439146,-1.945125
0.01,4.438952,-1.944181
0.01,4.438757,-1.943236
0.01,4.438563,-1.942291
0.01,4.438369,-1.941347
0.01,4.438174,-1.940403
0.01,4.437980,-1.939458
0.01,4.437786,-1.938514
0.01,4.437593,-1.937570
0.01,4.437399,-1.936626
0.01,4.437205,-1.935681
0.01,4.437012,-1.934737
0.01,4.436818,-1.933793
0.01,4.436625,-1.932849
0.01,4.436431,-1.931905
0.01,4.436238,-1.930961
0.01,4.436045,-1.930018
0.01,4.435852,-1.929074
0.01,4.435659,-1.928130
0.01,4.435466,-1.927186
0.01,4.435274,-1.926243
0.01,4.435081,-1.925299
0.01,4.434889,-1.924356
0.01,4.434696,-1.923412
0.01,4.434504,-1.922469
0.01,4.434312,-1.921525
0.01,4.434119,-1.920582
0.01,4.433927,-1.919639
0.01,4.433735,-1.918696
0.01,4.433544,-1.917753
0.01,4.433352,-1.916809
0.01,4.433160,-1.915866
0.01,4.432968,-1.914923
0.01,4.432777,-1.913980
0.01,4.432586,-1.913037
0.01,4.432394,-1.912095
0.01,4.432203,-1.911152
0.01,4.432012,-1.910209
0.01,4.431821,-1.909266
0.01,4.431630,-1.908324
0.01,4.431439,-1.907381
0.01,4.431248,-1.906439
0.01,4.431058,-1.905496
0.01,4.430867,-1.904554
0.01,4.430677,-1.903611
0.01,4.430486,-1.902669
0.01,4.430296,-1.901727
0.01,4.430106,-1.900785
0.01,4.429916,-1.899842
0.01,4.429726,-1.898900
0.01,4.429536,-1.897958
0.01,4.429346,-1.897016
0.01,4.429157,-1.896074
0.01,4.428967,-1.895132
0.01,4.428777,-1.894190
0.01,4.428588,-1.893249
0.01,4.428399,-1.892307
0.01,4.428209,-1.891365
0.01,4.428020,-1.890423
0.01,4.427831,-1.889482
0.01,4.427642,-1.888540
0.01,4.427453,-1.887599
0.01,4.427265,-1.886657
0.01,4.427076,-1.885716
0.01,4.426887,-1.884775
0.01,4.426699,-1.883833
0.01,4.426511,-1.882892
0.01,4.426322,-1.881951
0.01,4.426134,-1.881010
0.01,4.425946,-1.880069
0.01,4.425758,-1.879128
0.01,4.425570,-1.878187
0.01,4.425382,-1.877246
0.01,4.425195,-1.876305
0.01,4.425007,-1.875364
0.01,4.424819,-1.874423
0.01,4.424632,-1.873483
0.01,4.424445,-1.872542
0.01,4.424257,-1.871601
0.01,4.424070,-1.870661
0.01,4.423883,-1.869720
0.01,4.423696,-1.868780
0.01,4.423509,-1.867839
0.01,4.423323,-1.866899
0.01,4.423136,-1.865959
0.01,4.422949,-1.865018
0.01,4.422763,-1.864078
0.01,4.422576,-1.863138
0.01,4.422390,-1.862198
0.01,4.422204,-1.861258
0.01,4.422018,-1.860318
0.01,4.421832,-1.859378
0.01,4.421646,-1.858438
0.02,4.421460,-1.857498
0.02,4.421274,-1.856559
0.02,4.421088,-1.855619
0.02,4.420903,-1.854679
0.02,4.420717,-1.853740
0.02,4.420532,-1.852800
0.02,4.420347,-1.851861
0.02,4.420162,-1.850921
0.02,4.419976,-1.849982
0.02,4.419791,-1.849042
0.02,4.419607,-1.848103
0.02,4.419422,-1.847164
0.02,4.419237,-1.846225
0.02,4.419052,-1.845285
0.02,4.418868,-1.844346
0.02,4.418683,-1.843407
0.02,4.418499,-1.842468
0.02,4.418315,-1.841529
0.02,4.418131,-1.840590
0.02,4.417947,-1.839652
0.02,4.417763,-1.838713
0.02,4.417579,-1.837774
0.02,4.417395,-1.836835
0.02,4.417211,-1.835897
0.02,4.417028,-1.834958
0.02,4.416844,-1.834020
0.02,4.416661,-1.833081
0.02,4.416478,-1.832143
0.02,4.416294,-1.831204
0.02,4.416111,-1.830266
0.02,4.415928,-1.829328
0.02,4.415745,-1.828390
0.02,4.415562,-1.827452
0.02,4.415380,-1.826513
