TIME,ANGLE,ANGULAR_VELOCITY
0.00,6.021386,2.000000
0.00,6.021586,2.000254
0.00,6.021786,2.000508
0.00,6.021986,2.000761
0.00,6.022186,2.001014
0.00,6.022386,2.001268
0.00,6.022586,2.001521
0.00,6.022786,2.001773
0.00,6.022987,2.002026
0.00,6.023187,2.002278
0.00,6.023387,2.002530
0.00,6.023587,2.002782
0.00,6.023788,2.003034
0.00,6.023988,2.003286
0.00,6.024188,2.003537
0.00,6.024389,2.003789
0.00,6.024589,2.004040
0.00,6.024789,2.004291
0.00,6.024990,2.004541
0.00,6.025190,2.004792
0.00,6.025391,2.005042
0.00,6.025591,2.005292
0.00,6.025792,2.005542
0.00,6.025992,2.005792
0.00,6.026193,2.006041
0.00,6.026393,2.006291
0.00,6.026594,2.006540
0.00,6.026795,2.006789
0.00,6.026995,2.007037
0.00,6.027196,2.007286
0.00,6.027397,2.007534
0.00,6.027598,2.007783
0.00,6.027798,2.008031
0.00,6.027999,2.008278
0.00,6.028200,2.008526
0.00,6.028401,2.008774
0.00,6.028602,2.009021
0.00,6.028803,2.009268
0.00,6.029004,2.009515
0.00,6.029205,2.009761
0.00,6.029406,2.010008
0.00,6.029607,2.010254
0.00,6.029808,2.010500
0.00,6.030009,2.010746
0.00,6.030210,2.010992
0.00,6.030411,2.011237
0.00,6.030612,2.011483
0.00,6.030813,2.011728
0.00,6.031014,2.011973
0.00,6.031215,2.012218
0.01,6.031417,2.012462
0.01,6.031618,2.012707
0.01,6.031819,2.012951
0.01,6.032020,2.013195
0.01,6.032222,2.013439
0.01,6.032423,2.013682
0.01,6.032624,2.013926
0.01,6.032826,2.014169
0.01,6.033027,2.014412
0.01,6.033229,2.014655
0.01,6.033430,2.014897
0.01,6.033632,2.015140
0.01,6.033833,2.015382
0.01,6.034035,2.015624
0.01,6.034236,2.015866
0.01,6.034438,2.016108
0.01,6.034640,2.016349
0.01,6.034841,2.016591
0.01,6.035043,2.016832
0.01,6.035244,2.017073
0.01,6.035446,2.017314
0.01,6.035648,2.017554
0.01,6.035850,2.017794
0.01,6.036051,2.018035
0.01,6.036253,2.018275
0.01,6.036455,2.018514
0.01,6.036657,2.018754
0.01,6.036859,2.018993
0.01,6.037061,2.019233
0.01,6.037263,2.019472
0.01,6.037465,2.019710
0.01,6.037667,2.019949
0.01,6.037869,2.020188
0.01,6.038071,2.020426
0.01,6.038273,2.020664
0.01,6.038475,2.020902
0.01,6.038677,2.021139
0.01,6.038879,2.021377
0.01,6.039081,2.021614
0.01,6.039283,2.021851
0.01,6.039485,2.022088
0.01,6.039688,2.022325
0.01,6.039890,2.022561
0.01,6.040092,2.022798
0.01,6.040294,2.023034
0.01,6.040497,2.023270
0.01,6.040699,2.023506
0.01,6.040901,2.023741
0.01,6.041104,2.023976
0.01,6.041306,2.024212
0.01,6.041509,2.024447
0.01,6.041711,2.024681
0.01,6.041913,2.024916
0.01,6.042116,2.025150
0.01,6.042318,2.025385
0.01,6.042521,2.025619
0.01,6.042724,2.025852
0.01,6.042926,2.026086
0.01,6.043129,2.026319
0.01,6.043331,2.026553
0.01,6.043534,2.026786
0.01,6.043737,2.027019
0.01,6.043939,2.027251
0.01,6.044142,2.027484
