TIME,ANGLE,ANGULAR_VELOCITY
0.00,2.094395,3.000000
0.01,2.124395,2.915043
0.02,2.153546,2.831595
0.03,2.181861,2.749686
0.04,2.209358,2.669339
0.05,2.236052,2.590569
0.06,2.261957,2.513388
0.07,2.287091,2.437801
0.08,2.311469,2.363810
0.09,2.335107,2.291411
0.10,2.358022,2.220596
0.11,2.380227,2.151356
0.12,2.401741,2.083676
0.13,2.422578,2.017539
0.14,2.442753,1.952926
0.15,2.462282,1.889815
0.16,2.481181,1.828183
0.17,2.499462,1.768005
0.18,2.517143,1.709252
0.19,2.534235,1.651898
0.20,2.550754,1.595913
0.21,2.566713,1.541265
0.22,2.582126,1.487925
0.23,2.597005,1.435860
0.24,2.611364,1.385038
0.25,2.625214,1.335425
0.26,2.638568,1.286990
0.27,2.651438,1.239698
0.28,2.663835,1.193517
0.29,2.675770,1.148411
0.30,2.687254,1.104349
0.31,2.698298,1.061296
0.32,2.708911,1.019219
0.33,2.719103,0.978085
0.34,2.728884,0.937861
0.35,2.738263,0.898514
0.36,2.747248,0.860011
0.37,2.755848,0.822321
0.38,2.764071,0.785411
0.39,2.771925,0.749249
0.40,2.779418,0.713805
0.41,2.786556,0.679047
0.42,2.793346,0.644945
0.43,2.799796,0.611469
0.44,2.805910,0.578588
0.45,2.811696,0.546272
0.46,2.817159,0.514493
0.47,2.822304,0.483222
0.48,2.827136,0.452429
0.49,2.831660,0.422087
0.50,2.835881,0.392167
0.51,2.839803,0.362641
0.52,2.843429,0.333483
0.53,2.846764,0.304665
0.54,2.849811,0.276159
0.55,2.852572,0.247940
0.56,2.855052,0.219980
0.57,2.857251,0.192253
0.58,2.859174,0.164734
0.59,2.860821,0.137395
0.60,2.862195,0.110212
0.61,2.863297,0.083159
0.62,2.864129,0.056209
0.63,2.864691,0.029338
0.64,2.864984,0.002519
0.65,2.865010,-0.024271
0.66,2.864767,-0.051059
0.67,2.864256,-0.077870
0.68,2.863478,-0.104730
0.69,2.862430,-0.131662
0.70,2.861114,-0.158694
0.71,2.859527,-0.185850
0.72,2.857668,-0.213155
0.73,2.855537,-0.240635
0.74,2.853130,-0.268316
0.75,2.850447,-0.296223
0.76,2.847485,-0.324383
0.77,2.844241,-0.352821
0.78,2.840713,-0.381563
0.79,2.836897,-0.410636
0.80,2.832791,-0.440066
0.81,2.828390,-0.469880
0.82,2.823692,-0.500106
0.83,2.818690,-0.530769
0.84,2.813383,-0.561898
0.85,2.807764,-0.593521
0.86,2.801829,-0.625664
0.87,2.795572,-0.658358
0.88,2.788988,-0.691629
0.89,2.782072,-0.725507
0.90,2.774817,-0.760021
0.91,2.767217,-0.795201
0.92,2.759265,-0.831075
0.93,2.750954,-0.867674
0.94,2.742277,-0.905029
0.95,2.733227,-0.943169
0.96,2.723795,-0.982125
0.97,2.713974,-1.021929
0.98,2.703755,-1.062612
0.99,2.693129,-1.104204
1.00,2.682087,-1.146739
1.01,2.670619,-1.190247
1.02,2.658717,-1.234760
1.03,2.646369,-1.280310
1.04,2.633566,-1.326930
1.05,2.620297,-1.374651
1.06,2.606550,-1.423506
1.07,2.592315,-1.473525
1.08,2.577580,-1.524740
1.09,2.562333,-1.577182
1.10,2.546561,-1.630883
1.11,2.530252,-1.685871
1.12,2.513393,-1.742177
1.13,2.495971,-1.799829
1.14,2.477973,-1.858856
1.15,2.459385,-1.919283
1.16,2.440192,-1.981136
1.17,2.420380,-2.044438
1.18,2.399936,-2.109213
1.19,2.378844,-2.175481
1.20,2.357089,-2.243259
1.21,2.334656,-2.312564
1.22,2.311531,-2.383409
1.23,2.287697,-2.455805
1.24,2.263139,-2.529757
1.25,2.237841,-2.605270
1.26,2.211788,-2.682342
1.27,2.184965,-2.760970
1.28,2.157355,-2.841142
1.29,2.128944,-2.922845
1.30,2.099715,-3.006057
1.31,2.069655,-3.090752
1.32,2.038747,-3.176896
1.33,2.006978,-3.264450
1.34,1.974334,-3.353365
1.35,1.940800,-3.443585
1.36,1.906364,-3.535046
1.37,1.871014,-3.627675
1.38,1.834737,-3.721387
1.39,1.797523,-3.816090
1.40,1.759362,-3.911679
1.41,1.720246,-4.008040
1.42,1.680165,-4.105047
1.43,1.639115,-4.202561
1.44,1.597089,-4.300432
1.45,1.554085,-4.398498
1.46,1.510100,-4.496584
1.47,1.465134,-4.594503
1.48,1.419189,-4.692056
1.49,1.372268,-4.789031
1.50,1.324378,-4.885204
1.51,1.275526,-4.980341
