TIME,ANGLE,ANGULAR_VELOCITY
0.00,3.534292,0.000000
0.01,3.534479,0.037547
0.02,3.535043,0.075128
0.03,3.535982,0.112777
0.04,3.537299,0.150528
0.05,3.538993,0.188415
0.06,3.541068,0.226473
0.07,3.543523,0.264736
0.08,3.546363,0.303237
0.09,3.549589,0.342012
0.10,3.553204,0.381095
0.11,3.557212,0.420521
0.12,3.561616,0.460324
0.13,3.566420,0.500539
0.14,3.571628,0.541202
0.15,3.577246,0.582348
0.16,3.583277,0.624011
0.17,3.589728,0.666228
0.18,3.596603,0.709033
0.19,3.603910,0.752464
0.20,3.611655,0.796555
0.21,3.619844,0.841343
0.22,3.628484,0.886864
0.23,3.637584,0.933154
0.24,3.647150,0.980248
0.25,3.657191,1.028184
0.26,3.667717,1.076998
0.27,3.678734,1.126725
0.28,3.690254,1.177402
0.29,3.702286,1.229064
0.30,3.714839,1.281748
0.31,3.727924,1.335488
0.32,3.741552,1.390319
0.33,3.755734,1.446275
0.34,3.770482,1.503391
0.35,3.785806,1.561700
0.36,3.801720,1.621234
0.37,3.818235,1.682024
0.38,3.835365,1.744100
0.39,3.853121,1.807492
0.40,3.871519,1.872226
0.41,3.890571,1.938329
0.42,3.910290,2.005824
0.43,3.930692,2.074734
0.44,3.951790,2.145077
0.45,3.973598,2.216871
0.46,3.996132,2.290129
0.47,4.019406,2.364861
0.48,4.043434,2.441076
0.49,4.068232,2.518775
0.50,4.093814,2.597957
0.51,4.120196,2.678617
0.52,4.147392,2.760743
0.53,4.175416,2.844319
0.54,4.204283,2.929322
0.55,4.234007,3.015722
0.56,4.264602,3.103483
0.57,4.296081,3.192562
0.58,4.328457,3.282907
0.59,4.361743,3.374457
0.60,4.395950,3.467143
0.61,4.431090,3.560888
0.62,4.467171,3.655601
0.63,4.504204,3.751183
0.64,4.542197,3.847526
0.65,4.581157,3.944506
0.66,4.621089,4.041992
0.67,4.661998,4.139839
0.68,4.703887,4.237889
0.69,4.746756,4.335973
0.70,4.790606,4.433911
0.71,4.835433,4.531507
0.72,4.881234,4.628557
0.73,4.928002,4.724843
0.74,4.975728,4.820136
0.75,5.024400,4.914197
0.76,5.074007,5.006778
0.77,5.124530,5.097621
0.78,5.175952,5.186460
0.79,5.228252,5.273024
0.80,5.281404,5.357035
0.81,5.335383,5.438215
0.82,5.390158,5.516282
0.83,5.445697,5.590957
0.84,5.501965,5.661960
0.85,5.558923,5.729020
0.86,5.616531,5.791872
0.87,5.674746,5.850259
0.88,5.733521,5.903938
0.89,5.792808,5.952680
0.90,5.852557,5.996273
0.91,5.912716,6.034521
0.92,5.973229,6.067253
0.93,6.034042,6.094319
0.94,6.095096,6.115594
0.95,6.156334,6.130977
0.96,6.217696,6.140396
0.97,6.279122,6.143806
0.98,6.340552,6.141192
0.99,6.401926,6.132566
1.00,6.463184,6.117968
1.01,6.524266,6.097468
1.02,6.585114,6.071162
1.03,6.645670,6.039171
1.04,6.705879,6.001642
1.05,6.765685,5.958746
1.06,6.825036,5.910674
1.07,6.883882,5.857634
1.08,6.942173,5.799856
1.09,6.999864,5.737581
1.10,7.056911,5.671062
1.11,7.113272,5.600565
1.12,7.168909,5.526360
1.13,7.223788,5.448726
1.14,7.277873,5.367941
1.15,7.331137,5.284288
1.16,7.383551,5.198046
1.17,7.435090,5.109492
1.18,7.485734,5.018899
1.19,7.535462,4.926533
1.20,7.584259,4.832653
1.21,7.632111,4.737509
1.22,7.679006,4.641341
1.23,7.724935,4.544380
1.24,7.769892,4.446843
1.25,7.813871,4.348940
1.26,7.856870,4.250864
1.27,7.898888,4.152800
1.28,7.939927,4.054917
1.29,7.979988,3.957375
1.30,8.019076,3.860319
1.31,8.057196,3.763885
1.32,8.094356,3.668196
1.33,8.130563,3.573362
1.34,8.165826,3.479484
1.35,8.200156,3.386653
1.36,8.233563,3.294948
1.37,8.266059,3.204440
1.38,8.297656,3.115191
1.39,8.328367,3.027253
1.40,8.358206,2.940670
1.41,8.387185,2.855481
1.42,8.415320,2.771715
1.43,8.442624,2.689396
1.44,8.469113,2.608541
1.45,8.494800,2.529163
1.46,8.519701,2.451267
1.47,8.543830,2.374857
1.48,8.567203,2.299929
1.49,8.589834,2.226476
1.50,8.611738,2.154490
1.51,8.632929,2.083955
1.52,8.653421,2.014857
1.53,8.673230,1.947176
1.54,8.692370,1.880890
1.55,8.710853,1.815976
1.56,8.728694,1.752409
1.57,8.745905,1.690160
1.58,8.762501,1.629202
1.59,8.778494,1.569504
1.60,8.793895,1.511035
1.61,8.808718,1.453763
1.62,8.822974,1.397655
1.63,8.836675,1.342677
1.64,8.849832,1.288794
1.65,8.862455,1.235973
1.66,8.874554,1.184178
1.67,8.886141,1.133373
1.68,8.897225,1.083522
1.69,8.907815,1.034590
1.70,8.917920,0.986540
1.71,8.927549,0.939336
1.72,8.936709,0.892942
1.73,8.945410,0.847321
1.74,8.953658,0.802439
1.75,8.961461,0.758257
1.76,8.968826,0.714741
1.77,8.975758,0.671855
1.78,8.982265,0.629562
1.79,8.988351,0.587828
1.80,8.994023,0.546616
1.81,8.999285,0.505891
1.82,9.004142,0.465619
1.83,9.008599,0.425763
1.84,9.012659,0.386290
1.85,9.016326,0.347163
1.86,9.019603,0.308350
1.87,9.022494,0.269814
1.88,9.025000,0.231522
1.89,9.027125,0.193439
1.90,9.028870,0.155531
1.91,9.030236,0.117764
1.92,9.031225,0.080103
1.93,9.031838,0.042515
1.94,9.032076,0.004966
1.95,9.031938,-0.032579
1.96,9.031424,-0.070154
1.97,9.030534,-0.107792
1.98,9.029268,-0.145528
1.99,9.027623,-0.183395
2.00,9.025599,-0.221428
2.01,9.023194,-0.259662
2.02,9.020405,-0.298130
2.03,9.017231,-0.336867
2.04,9.013667,-0.375907
2.05,9.009711,-0.415285
2.06,9.005360,-0.455037
2.07,9.000609,-0.495195
2.08,8.995455,-0.535797
2.09,8.989892,-0.576876
2.10,8.983915,-0.618469
2.11,8.977520,-0.660611
2.12,8.970701,-0.703337
2.13,8.963452,-0.746682
2.14,8.955765,-0.790684
2.15,8.947636,-0.835378
2.16,8.939055,-0.880800
2.17,8.930017,-0.926986
2.18,8.920513,-0.973972
2.19,8.910535,-1.021794
2.20,8.900074,-1.070490
2.21,8.889122,-1.120094
2.22,8.877669,-1.170643
2.23,8.865706,-1.222173
2.24,8.853222,-1.274720
2.25,8.840208,-1.328318
2.26,8.826652,-1.383002
2.27,8.812544,-1.438808
2.28,8.797872,-1.495769
2.29,8.782625,-1.553918
2.30,8.766790,-1.613288
2.31,8.750355,-1.673910
2.32,8.733307,-1.735814
2.33,8.715634,-1.799030
2.34,8.697322,-1.863586
2.35,8.678358,-1.929506
2.36,8.658728,-1.996816
2.37,8.638417,-2.065537
2.38,8.617412,-2.135690
2.39,8.595698,-2.207291
2.40,8.573261,-2.280355
2.41,8.550086,-2.354892
2.42,8.526159,-2.430910
2.43,8.501463,-2.508412
2.44,8.475985,-2.587399
2.45,8.449710,-2.667864
2.46,8.422623,-2.749797
2.47,8.394710,-2.833182
2.48,8.365955,-2.917998
2.49,8.336345,-3.004215
2.50,8.305866,-3.091798
2.51,8.274505,-3.180706
2.52,8.242248,-3.270886
2.53,8.209083,-3.362281
2.54,8.174998,-3.454822
2.55,8.139983,-3.548431
2.56,8.104026,-3.643021
2.57,8.067119,-3.738495
2.58,8.029254,-3.834743
2.59,7.990422,-3.931647
2.60,7.950619,-4.029074
2.61,7.909840,-4.126882
2.62,7.868081,-4.224914
2.63,7.825341,-4.323004
2.64,7.781621,-4.420972
2.65,7.736923,-4.518625
2.66,7.691250,-4.615759
2.67,7.644610,-4.712159
2.68,7.597010,-4.807597
2.69,7.548462,-4.901836
2.70,7.498978,-4.994627
2.71,7.448575,-5.085715
2.72,7.397271,-5.174834
2.73,7.345086,-5.261714
2.74,7.292045,-5.346080
2.75,7.238174,-5.427650
2.76,7.183502,-5.506145
2.77,7.128062,-5.581284
2.78,7.071888,-5.652789
2.79,7.015019,-5.720386
2.80,6.957495,-5.783809
2.81,6.899358,-5.842801
2.82,6.840654,-5.897117
2.83,6.781432,-5.946525
2.84,6.721741,-5.990809
2.85,6.661633,-6.029775
2.86,6.601164,-6.063246
2.87,6.540387,-6.091069
2.88,6.479361,-6.113116
2.89,6.418145,-6.129283
2.90,6.356796,-6.139494
2.91,6.295375,-6.143701
2.92,6.233942,-6.141883
2.93,6.172557,-6.134051
2.94,6.111281,-6.120240
2.95,6.050172,-6.100515
2.96,5.989290,-6.074970
2.97,5.928692,-6.043723
2.98,5.868434,-6.006918
2.99,5.808571,-5.964721
3.00,5.749157,-5.917322
3.01,5.690241,-5.864927
3.02,5.631874,-5.807762
3.03,5.574101,-5.746067
3.04,5.516967,-5.680095
3.05,5.460513,-5.610108
3.06,5.404777,-5.536378
3.07,5.349797,-5.459181
3.08,5.295604,-5.378797
3.09,5.242231,-5.295507
3.10,5.189703,-5.209592
3.11,5.138047,-5.121328
3.12,5.087283,-5.030989
3.13,5.037433,-4.938843
3.14,4.988512,-4.845148
3.15,4.940534,-4.750157
3.16,4.893512,-4.654111
3.17,4.847455,-4.557242
3.18,4.802369,-4.459770
3.19,4.758261,-4.361903
3.20,4.715132,-4.263840
3.21,4.672984,-4.165764
3.22,4.631816,-4.067847
3.23,4.591626,-3.970252
3.24,4.552409,-3.873124
3.25,4.514161,-3.776600
3.26,4.476875,-3.680805
3.27,4.440542,-3.585852
3.28,4.405155,-3.491843
3.29,4.370702,-3.398868
3.30,4.337174,-3.307010
3.31,4.304558,-3.216341
3.32,4.272843,-3.126922
3.33,4.242015,-3.038807
3.34,4.212062,-2.952043
3.35,4.182970,-2.866668
3.36,4.154724,-2.782712
3.37,4.127311,-2.700200
3.38,4.100715,-2.619151
3.39,4.074923,-2.539577
3.40,4.049919,-2.461485
3.41,4.025688,-2.384878
3.42,4.002216,-2.309754
3.43,3.979488,-2.236107
3.44,3.957489,-2.163927
3.45,3.936205,-2.093202
3.46,3.915620,-2.023915
3.47,3.895722,-1.956047
3.48,3.876495,-1.889578
3.49,3.857925,-1.824484
3.50,3.840000,-1.760740
3.51,3.822706,-1.698319
3.52,3.806030,-1.637191
3.53,3.789958,-1.577328
3.54,3.774479,-1.518699
3.55,3.759580,-1.461270
3.56,3.745250,-1.405010
3.57,3.731476,-1.349885
3.58,3.718248,-1.295860
3.59,3.705555,-1.242900
3.60,3.693387,-1.190971
3.61,3.681733,-1.140037
3.62,3.670583,-1.090062
3.63,3.659928,-1.041010
3.64,3.649760,-0.992846
3.65,3.640069,-0.945532
3.66,3.630846,-0.899033
3.67,3.622085,-0.853312
3.68,3.613778,-0.808334
3.69,3.605916,-0.764062
3.70,3.598494,-0.720460
3.71,3.591505,-0.677493
3.72,3.584942,-0.635124
3.73,3.578801,-0.593317
3.74,3.573074,-0.552038
3.75,3.567758,-0.511251
3.76,3.562848,-0.470921
3.77,3.558338,-0.431012
3.78,3.554226,-0.391490
3.79,3.550507,-0.352320
3.80,3.547179,-0.313467
3.81,3.544237,-0.274896
3.82,3.541680,-0.236574
3.83,3.539505,-0.198465
3.84,3.537710,-0.160536
3.85,3.536294,-0.122752
3.86,3.535255,-0.085079
3.87,3.534592,-0.047484
3.88,3.534305,-0.009931
3.89,3.534393,0.027613
3.90,3.534857,0.065181
3.91,3.535697,0.102809
3.92,3.536914,0.140530
3.93,3.538508,0.178378
3.94,3.540482,0.216387
3.95,3.542837,0.254592
3.96,3.545574,0.293027
3.97,3.548698,0.331727
3.98,3.552210,0.370725
3.99,3.556114,0.410056
4.00,3.560412,0.449756
4.01,3.565110,0.489859
4.02,3.570211,0.530400
4.03,3.575720,0.571414
4.04,3.581641,0.612937
4.05,3.587980,0.655004
4.06,3.594743,0.697651
4.07,3.601935,0.740912
4.08,3.609563,0.784825
4.09,3.617634,0.829425
4.10,3.626154,0.874749
4.11,3.635132,0.920832
4.12,3.644574,0.967710
4.13,3.654488,1.015420
4.14,3.664885,1.063998
4.15,3.675771,1.113480
4.16,3.687158,1.163902
4.17,3.699053,1.215300
4.18,3.711467,1.267710
4.19,3.724410,1.321167
4.20,3.737894,1.375706
4.21,3.751928,1.431361
4.22,3.766525,1.488167
4.23,3.781696,1.546158
4.24,3.797452,1.605364
4.25,3.813807,1.665819
4.26,3.830773,1.727552
4.27,3.848362,1.790593
4.28,3.866589,1.854969
4.29,3.885466,1.920708
4.30,3.905008,1.987833
4.31,3.925228,2.056366
4.32,3.946140,2.126328
4.33,3.967759,2.197737
4.34,3.990100,2.270606
4.35,4.013176,2.344948
4.36,4.037003,2.420770
4.37,4.061596,2.498076
4.38,4.086970,2.576866
4.39,4.113139,2.657136
4.40,4.140118,2.738876
4.41,4.167921,2.822071
4.42,4.196564,2.906698
4.43,4.226060,2.992732
4.44,4.256423,3.080137
4.45,4.287667,3.168872
4.46,4.319805,3.258887
4.47,4.352849,3.350125
4.48,4.386811,3.442518
4.49,4.421703,3.535991
4.50,4.457534,3.630457
4.51,4.494315,3.725820
4.52,4.532053,3.821973
4.53,4.570757,3.918797
4.54,4.610431,4.016163
4.55,4.651081,4.113929
4.56,4.692710,4.211941
4.57,4.735320,4.310033
4.58,4.778911,4.408028
4.59,4.823480,4.505734
4.60,4.869024,4.602949
4.61,4.915536,4.699459
4.62,4.963010,4.795037
4.63,5.011433,4.889448
4.64,5.060794,4.982446
4.65,5.111077,5.073774
4.66,5.162263,5.163169
4.67,5.214333,5.250361
4.68,5.267262,5.335075
4.69,5.321025,5.417031
4.70,5.375593,5.495949
4.71,5.430933,5.571548
4.72,5.487011,5.643550
4.73,5.543791,5.711679
4.74,5.601231,5.775669
4.75,5.659290,5.835262
4.76,5.717921,5.890209
4.77,5.777078,5.940279
4.78,5.836710,5.985253
4.79,5.896765,6.024933
4.80,5.957190,6.059140
4.81,6.017929,6.087718
4.82,6.078925,6.110535
4.83,6.140120,6.127485
4.84,6.201455,6.138487
4.85,6.262870,6.143490
4.86,6.324305,6.142470
4.87,6.385699,6.135431
4.88,6.446993,6.122407
4.89,6.508128,6.103460
4.90,6.569043,6.078679
4.91,6.629682,6.048179
4.92,6.689988,6.012099
4.93,6.749906,5.970605
4.94,6.809383,5.923882
4.95,6.868367,5.872136
4.96,6.926810,5.815588
4.97,6.984664,5.754478
4.98,7.041885,5.689057
4.99,7.098431,5.619586
5.00,7.154264,5.546335
5.01,7.209346,5.469581
5.02,7.263645,5.389602
5.03,7.317128,5.306681
5.04,7.369769,5.221096
5.05,7.421542,5.133127
5.06,7.472425,5.043048
5.07,7.522397,4.951125
5.08,7.571442,4.857621
5.09,7.619545,4.762787
5.10,7.666694,4.666867
5.11,7.712880,4.570094
5.12,7.758094,4.472689
5.13,7.802332,4.374863
5.14,7.845591,4.276815
5.15,7.887868,4.178730
5.16,7.929166,4.080784
5.17,7.969485,3.983136
5.18,8.008830,3.885939
5.19,8.047206,3.789328
5.20,8.084619,3.693430
5.21,8.121077,3.598359
5.22,8.156589,3.504220
5.23,8.191165,3.411103
5.24,8.224815,3.319093
5.25,8.257551,3.228263
5.26,8.289384,3.138675
5.27,8.320329,3.050385
5.28,8.350396,2.963440
5.29,8.379602,2.877879
5.30,8.407959,2.793734
5.31,8.435481,2.711030
5.32,8.462184,2.629787
5.33,8.488082,2.550017
5.34,8.513190,2.471729
5.35,8.537522,2.394926
5.36,8.561093,2.319606
5.37,8.583919,2.245764
5.38,8.606013,2.173391
5.39,8.627391,2.102474
5.40,8.648067,2.032997
5.41,8.668056,1.964943
5.42,8.687371,1.898291
5.43,8.706026,1.833016
5.44,8.724036,1.769095
5.45,8.741413,1.706500
5.46,8.758170,1.645203
5.47,8.774321,1.585175
5.48,8.789878,1.526384
5.49,8.804853,1.468798
5.50,8.819258,1.412386
5.51,8.833104,1.357112
5.52,8.846404,1.302943
5.53,8.859167,1.249845
5.54,8.871404,1.197782
5.55,8.883126,1.146718
5.56,8.894342,1.096618
5.57,8.905061,1.047447
5.58,8.915293,0.999167
5.59,8.925047,0.951743
5.60,8.934331,0.905138
5.61,8.943153,0.859316
5.62,8.951520,0.814242
5.63,8.959440,0.769879
