TIME,ANGLE,ANGULAR_VELOCITY
0.00,5.890486,0.000000
0.01,5.890674,0.037536
0.02,5.891237,0.075037
0.03,5.892174,0.112471
0.04,5.893486,0.149802
0.05,5.895170,0.186998
0.06,5.897225,0.224024
0.07,5.899650,0.260846
0.08,5.902441,0.297431
0.09,5.905598,0.333745
0.10,5.909115,0.369754
0.11,5.912991,0.405426
0.12,5.917223,0.440728
0.13,5.921805,0.475625
0.14,5.926734,0.510087
0.15,5.932005,0.544079
0.16,5.937614,0.577570
0.17,5.943554,0.610528
0.18,5.949822,0.642921
0.19,5.956411,0.674719
0.20,5.963315,0.705889
0.21,5.970527,0.736403
0.22,5.978040,0.766228
0.23,5.985849,0.795337
0.24,5.993945,0.823700
0.25,6.002320,0.851289
0.26,6.010968,0.878075
0.27,6.019879,0.904032
0.28,6.029045,0.929132
0.29,6.038459,0.953351
0.30,6.048109,0.976662
0.31,6.057989,0.999041
0.32,6.068087,1.020465
0.33,6.078395,1.040911
0.34,6.088902,1.060358
0.35,6.099599,1.078783
0.36,6.110474,1.096169
0.37,6.121518,1.112495
0.38,6.132720,1.127744
0.39,6.144070,1.141900
0.40,6.155555,1.154946
0.41,6.167165,1.166868
0.42,6.178888,1.177654
0.43,6.190714,1.187290
0.44,6.202630,1.195767
0.45,6.214625,1.203075
0.46,6.226688,1.209206
0.47,6.238806,1.214152
0.48,6.250967,1.217909
0.49,6.263160,1.220471
0.50,6.275372,1.221837
0.51,6.287593,1.222004
0.52,6.299808,1.220972
0.53,6.312008,1.218743
0.54,6.324179,1.215319
0.55,6.336310,1.210704
0.56,6.348389,1.204903
0.57,6.360405,1.197922
0.58,6.372344,1.189770
0.59,6.384196,1.180456
0.60,6.395949,1.169989
0.61,6.407592,1.158382
0.62,6.419113,1.145648
0.63,6.430501,1.131800
0.64,6.441745,1.116854
0.65,6.452835,1.100827
0.66,6.463758,1.083734
0.67,6.474506,1.065597
0.68,6.485067,1.046433
0.69,6.495431,1.026263
0.70,6.505589,1.005109
0.71,6.515530,0.982994
0.72,6.525246,0.959940
0.73,6.534726,0.935972
0.74,6.543962,0.911115
0.75,6.552945,0.885394
0.76,6.561667,0.858837
0.77,6.570119,0.831469
0.78,6.578294,0.803319
0.79,6.586183,0.774415
0.80,6.593780,0.744786
0.81,6.601077,0.714461
0.82,6.608067,0.683471
0.83,6.614744,0.651845
0.84,6.621102,0.619615
0.85,6.627134,0.586811
0.86,6.632836,0.553465
0.87,6.638202,0.519609
0.88,6.643227,0.485276
0.89,6.647906,0.450496
0.90,6.652235,0.415304
0.91,6.656211,0.379732
0.92,6.659829,0.343813
0.93,6.663086,0.307581
0.94,6.665980,0.271068
0.95,6.668507,0.234308
0.96,6.670665,0.197336
0.97,6.672453,0.160184
0.98,6.673868,0.122887
0.99,6.674910,0.085479
1.00,6.675578,0.047993
1.01,6.675870,0.010463
1.02,6.675787,-0.027076
1.03,6.675328,-0.064590
1.04,6.674495,-0.102046
1.05,6.673288,-0.139410
1.06,6.671707,-0.176646
1.07,6.669755,-0.213723
1.08,6.667434,-0.250605
1.09,6.664744,-0.287260
1.10,6.661689,-0.323653
1.11,6.658272,-0.359750
1.12,6.654495,-0.395520
1.13,6.650363,-0.430928
1.14,6.645878,-0.465941
1.15,6.641045,-0.500527
1.16,6.635869,-0.534654
1.17,6.630354,-0.568288
1.18,6.624505,-0.601397
1.19,6.618328,-0.633951
1.20,6.611828,-0.665918
1.21,6.605012,-0.697266
1.22,6.597885,-0.727966
1.23,6.590454,-0.757986
1.24,6.582727,-0.787298
1.25,6.574711,-0.815872
1.26,6.566413,-0.843679
1.27,6.557840,-0.870692
1.28,6.549001,-0.896882
1.29,6.539905,-0.922224
1.30,6.530560,-0.946691
1.31,6.520974,-0.970257
1.32,6.511158,-0.992899
1.33,6.501120,-1.014591
1.34,6.490869,-1.035312
1.35,6.480417,-1.055039
1.36,6.469772,-1.073752
1.37,6.458945,-1.091429
1.38,6.447947,-1.108052
1.39,6.436788,-1.123603
1.40,6.425478,-1.138065
1.41,6.414030,-1.151422
1.42,6.402454,-1.163659
1.43,6.390761,-1.174763
1.44,6.378962,-1.184721
1.45,6.367070,-1.193522
1.46,6.355096,-1.201157
1.47,6.343051,-1.207616
1.48,6.330947,-1.212893
1.49,6.318797,-1.216981
1.50,6.306612,-1.219877
1.51,6.294403,-1.221576
1.52,6.282184,-1.222078
1.53,6.269966,-1.221380
1.54,6.257760,-1.219485
1.55,6.245580,-1.216393
1.56,6.233437,-1.212110
1.57,6.221342,-1.206638
1.58,6.209308,-1.199986
1.59,6.197346,-1.192159
1.60,6.185468,-1.183168
1.61,6.173687,-1.173021
1.62,6.162012,-1.161731
1.63,6.150456,-1.149310
1.64,6.139029,-1.135771
1.65,6.127744,-1.121129
1.66,6.116610,-1.105401
1.67,6.105640,-1.088604
1.68,6.094842,-1.070756
1.69,6.084228,-1.051876
1.70,6.073808,-1.031984
1.71,6.063591,-1.011103
1.72,6.053589,-0.989253
1.73,6.043810,-0.966459
1.74,6.034263,-0.942743
1.75,6.024958,-0.918131
1.76,6.015903,-0.892648
1.77,6.007107,-0.866321
1.78,5.998579,-0.839177
1.79,5.990327,-0.811242
1.80,5.982357,-0.782545
