TIME,ANGLE,ANGULAR_VELOCITY
0.00, 0.785397, 1.000000
0.01, 0.795050, 0.930295
0.02, 0.804001, 0.859951
0.03, 0.812247, 0.789022
0.04, 0.819780, 0.717560
0.05, 0.826596, 0.645618
0.06, 0.832691, 0.573246
0.07, 0.838060, 0.500497
0.08, 0.842700, 0.427418
0.09, 0.846607, 0.354061
0.10, 0.849780, 0.280474
0.11, 0.852216, 0.206704
0.12, 0.853914, 0.132802
0.13, 0.854872, 0.058813
0.14, 0.855090, -0.015213
0.15, 0.854568, -0.089229
0.16, 0.853306, -0.163188
0.17, 0.851304, -0.237042
0.18, 0.848565, -0.310742
0.19, 0.845090, -0.384241
0.20, 0.840881, -0.457489
0.21, 0.835941, -0.530439
0.22, 0.830274, -0.603039
0.23, 0.823882, -0.675240
0.24, 0.816770, -0.746991
0.25, 0.808944, -0.818241
0.26, 0.800407, -0.888936
0.27, 0.791167, -0.959024
0.28, 0.781229, -1.028450
0.29, 0.770600, -1.097160
0.30, 0.759288, -1.165097
0.31, 0.747301, -1.232206
0.32, 0.734647, -1.298428
0.33, 0.721336, -1.363704
0.34, 0.707377, -1.427976
0.35, 0.692780, -1.491183
0.36, 0.677557, -1.553264
0.37, 0.661719, -1.614158
0.38, 0.645278, -1.673803
0.39, 0.628247, -1.732136
0.40, 0.610640, -1.789094
0.41, 0.592470, -1.844615
0.42, 0.573752, -1.898634
0.43, 0.554502, -1.951088
0.44, 0.534736, -2.001916
0.45, 0.514470, -2.051054
0.46, 0.493721, -2.098440
0.47, 0.472507, -2.144014
0.48, 0.450847, -2.187715
0.49, 0.428759, -2.229484
0.50, 0.406264, -2.269265
0.51, 0.383381, -2.307000
0.52, 0.360131, -2.342637
0.53, 0.336535, -2.376124
0.54, 0.312615, -2.407410
0.55, 0.288394, -2.436449
0.56, 0.263894, -2.463198
0.57, 0.239138, -2.487613
0.58, 0.214150, -2.509658
0.59, 0.188953, -2.529298
0.60, 0.163572, -2.546501
0.61, 0.138031, -2.561239
0.62, 0.112355, -2.573489
0.63, 0.086570, -2.583231
0.64, 0.060699, -2.590448
0.65, 0.034769, -2.595130
0.66, 0.008805, -2.597267
0.67, -0.017168, -2.596857
0.68, -0.043124, -2.593900
0.69, -0.069037, -2.588401
0.70, -0.094883, -2.580369
0.71, -0.120636, -2.569818
0.72, -0.146271, -2.556764
0.73, -0.171763, -2.541229
0.74, -0.197088, -2.523239
0.75, -0.222220, -2.502821
0.76, -0.247136, -2.480008
0.77, -0.271812, -2.454837
0.78, -0.296225, -2.427347
0.79, -0.320352, -2.397579
0.80, -0.344169, -2.365579
0.81, -0.367656, -2.331394
0.82, -0.390790, -2.295076
0.83, -0.413550, -2.256676
0.84, -0.435917, -2.216249
0.85, -0.457869, -2.173851
0.86, -0.479387, -2.129541
0.87, -0.500453, -2.083377
0.88, -0.521049, -2.035420
0.89, -0.541156, -1.985731
0.90, -0.560758, -1.934373
0.91, -0.579838, -1.881407
0.92, -0.598381, -1.826898
0.93, -0.616371, -1.770908
0.94, -0.633794, -1.713500
