TIME,POSITION,VELOCITY
0.00, 1.000000, 0.000000
0.01, 0.999950, -0.010000
0.02, 0.999800, -0.019999
0.03, 0.999550, -0.029996
0.04, 0.999200, -0.039989
0.05, 0.998750, -0.049979
0.06, 0.998201, -0.059964
0.07, 0.997551, -0.069943
0.08, 0.996802, -0.079915
0.09, 0.995953, -0.089879
0.10, 0.995004, -0.099833
0.11, 0.993956, -0.109778
0.12, 0.992809, -0.119712
0.13, 0.991562, -0.129634
0.14, 0.990216, -0.139543
0.15, 0.988771, -0.149438
0.16, 0.987227, -0.159318
0.17, 0.985585, -0.169182
0.18, 0.983844, -0.179030
0.19, 0.982004, -0.188859
0.20, 0.980067, -0.198669
0.21, 0.978031, -0.208460
0.22, 0.975897, -0.218230
0.23, 0.973666, -0.227978
0.24, 0.971338, -0.237703
0.25, 0.968912, -0.247404
0.26, 0.966390, -0.257081
0.27, 0.963771, -0.266731
0.28, 0.961055, -0.276356
0.29, 0.958244, -0.285952
0.30, 0.955336, -0.295520
0.31, 0.952334, -0.305059
0.32, 0.949235, -0.314567
0.33, 0.946042, -0.324043
0.34, 0.942755, -0.333487
0.35, 0.939373, -0.342898
0.36, 0.935897, -0.352274
0.37, 0.932327, -0.361615
0.38, 0.928665, -0.370920
0.39, 0.924909, -0.380188
0.40, 0.921061, -0.389418
0.41, 0.917121, -0.398609
0.42, 0.913089, -0.407760
0.43, 0.908966, -0.416871
0.44, 0.904752, -0.425939
0.45, 0.900447, -0.434966
0.46, 0.896052, -0.443948
0.47, 0.891568, -0.452886
0.48, 0.886995, -0.461779
0.49, 0.882333, -0.470626
0.50, 0.877583, -0.479426
0.51, 0.872745, -0.488177
0.52, 0.867819, -0.496880
0.53, 0.862807, -0.505533
0.54, 0.857709, -0.514136
0.55, 0.852525, -0.522687
0.56, 0.847255, -0.531186
0.57, 0.841901, -0.539632
0.58, 0.836463, -0.548024
0.59, 0.830941, -0.556361
0.60, 0.825336, -0.564642
0.61, 0.819648, -0.572867
0.62, 0.813878, -0.581035
0.63, 0.808028, -0.589145
0.64, 0.802096, -0.597195
0.65, 0.796084, -0.605186
0.66, 0.789992, -0.613117
0.67, 0.783822, -0.620986
0.68, 0.777573, -0.628793
0.69, 0.771246, -0.636537
0.70, 0.764842, -0.644218
0.71, 0.758362, -0.651834
0.72, 0.751806, -0.659385
